tiempo_s,fase_medida_deg,delta_fase_deg,fase_generador_deg
13.041256,187.490000,0.000000,187.490000
13.132707,187.490000,0.000000,187.490000
13.223977,187.490000,0.000000,187.490000
13.314395,187.490000,0.000000,187.490000
13.406110,187.490000,0.000000,187.490000
13.497001,187.490000,0.000000,187.490000
13.594327,187.490000,0.000000,187.490000
13.685664,187.490000,0.000000,187.490000
13.782762,187.490000,0.000000,187.490000
13.873603,317.878000,130.388000,317.878000
